created_at,date,id,keyword_id,outlet,related_term,source_type,title,url
2026-08-06T06:00:11.012929+00:00,2026-08-05,22e64b19-a971-4e8c-a4be-04d92af0220c,,Notícias ao Minuto,perturbação obsessivo-compulsiva,media,<![CDATA[Rio Ave arranca nova época com o mote da estabilidade]]>,https://www.noticiasaominuto.com/desporto/3032317/rio-ave-arranca-nova-epoca-com-o-mote-da-estabilidade#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
2026-09-06T06:00:05.47152+00:00,2026-09-04,2309f25f-35d8-4c7c-9707-ddfabbbddda6,,Notícias ao Minuto,pânico,media,"<![CDATA[""Vou vomitar"". Kika Cerqueira Gomes entra em pânico com Pierre Gasly ]]>",https://www.noticiasaominuto.com/fama/3046395/vou-vomitar-kika-cerqueira-gomes-entra-em-panico-com-pierre-gasly#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
2026-05-31T06:00:09.052182+00:00,2026-05-30,2314b689-82b5-4a4a-a6a2-4c2b6fdf9765,,Observador,burnout,media,"&quot;Burnout&quot; nos Padres: não é moda, é um aviso",https://observador.pt/opiniao/burnout-nos-padres-nao-e-moda-e-um-aviso/
2026-08-11T06:00:14.460736+00:00,2026-08-10,235edbe8-f2f7-412b-b10c-4f1a3fa3b6d0,,Notícias ao Minuto,calor extremo e saúde,media,<![CDATA[Programa vai preparar 100 mil pessoas para ondas de calor e incêndios]]>,https://www.noticiasaominuto.com/pais/3034718/programa-vai-preparar-100-mil-pessoas-para-ondas-de-calor-e-incendios#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
2026-04-21T06:00:05.148939+00:00,2026-04-20,237dd4f5-e374-43ba-8996-22c72e387331,,Observador,candidíase,media,Candidato presidencial francês quer isolar Espanha,https://observador.pt/2026/04/21/candidato-presidencial-frances-quer-isolar-espanha-na-europa-por-regularizar-500-mil-imigrantes-ilegais/
2026-04-11T06:00:35.244465+00:00,2025-12-05,238c8fb9-beab-496c-be04-44534fd6555b,,Sociedade Portuguesa Patologia Coluna Vertebral,perturbações do espectro do autismo,institucional,No Consensus Lisbon Spine Meeting 2026,https://sppcv.org/eventos/no-consensus-lisbon-spine-meeting-2026/
2026-09-07T06:00:16.483552+00:00,2026-09-06,23fece8b-9b3a-4394-8bc1-24aa60f35139,,Notícias ao Minuto,ansiedade,media,<![CDATA[Férias acabaram? 7 dicas para o ajudar a voltar ao trabalho (sem stress)]]>,https://www.noticiasaominuto.com/lifestyle/3045671/ferias-acabaram-7-dicas-para-o-ajudar-a-voltar-ao-trabalho-sem-stress#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
2026-08-31T06:00:09.311004+00:00,2026-08-29,2405d940-aee7-46a4-98ae-e4d31165f036,,Notícias ao Minuto,candidíase,media,<![CDATA[Oposição cabo-verdiana apoia candidatura presidencial de ex-ministra]]>,https://www.noticiasaominuto.com/mundo/3043414/oposicao-cabo-verdiana-apoia-candidatura-presidencial-de-ex-ministra#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
2026-08-17T06:00:10.187489+00:00,2026-08-14,240df3bb-eef5-4b39-82b8-a71584bb3bc7,,Notícias ao Minuto,perturbação obsessivo-compulsiva,media,"<![CDATA[""É a imagem da segunda parte que queremos levar para o resto da época""]]>",https://www.noticiasaominuto.com/desporto/3036838/e-a-imagem-da-segunda-parte-que-queremos-levar-para-o-resto-da-epoca#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
2026-06-20T06:00:17.323609+00:00,2026-06-19,240e57b1-cbc6-46ec-a99d-e038ca115dfb,,SPMS,candidíase,institucional,1ª fase de apresentação de candidaturas do SAD 2026/287 – Gases Medicinais,https://www.spms.min-saude.pt/2026/06/1a-fase-de-apresentacao-de-candidaturas-do-sad-2026-287-gases-medicinais/
2026-05-18T06:00:06.647575+00:00,2026-05-18,2411bb63-e08b-4167-aec2-d61cee8a0c9c,,Observador,perturbação obsessivo-compulsiva,media,Dobradinha da águia faz bater recorde de assistência no J...,https://observador.pt/programas/vamos-a-bola/dobradinha-da-aguia-faz-bater-recorde-de-assistencia-no-jamor/
2026-07-16T06:00:10.26627+00:00,2026-07-14,241d82c9-4169-4d7c-a06d-e3be4f6eb998,,Notícias ao Minuto,síndrome do ovário poliquístico,media,<![CDATA[Canja de peixe! Aprenda uma receita diferente da icónica sopa]]>,https://www.noticiasaominuto.com/lifestyle/3021170/canja-de-peixe-aprenda-uma-receita-diferente-da-iconica-sopa#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
2026-07-21T06:00:06.718319+00:00,2026-07-20,2457f79b-6aa1-4575-a605-0a0ef43fe9aa,,Notícias ao Minuto,alzheimer,media,"<![CDATA[""A conversa mais dura"". Filho de Sandra Silva fala sobre Alzheimer da avó]]>",https://www.noticiasaominuto.com/fama/3024320/a-conversa-mais-dura-filho-de-sandra-silva-fala-sobre-alzheimer-da-avo#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
2026-04-14T06:00:06.284817+00:00,2026-04-14,2486704f-1bf9-4f1d-b233-49d0b22d10fd,,Observador,ansiedade,media,&quot;Likes&quot; e ansiedade: o custo oculto das redes sociais,https://observador.pt/programas/tratar-da-saude/likes-e-ansiedade-o-custo-oculto-das-redes-sociais/
2026-05-23T06:00:10.234888+00:00,2026-05-22,249a7ee6-e631-4a62-8e14-c06e2e6ec84f,,Notícias ao Minuto,candidíase,media,<![CDATA[Gabriel Attal oficializa candidatura às presidenciais francesas em 2027]]>,https://www.noticiasaominuto.com/mundo/2994050/gabriel-attal-oficializa-candidatura-as-presidenciais-francesas-em-2027#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
2026-08-29T06:00:11.446272+00:00,2026-08-28,24c639df-5859-47fe-ae85-01eab2e757b5,,Notícias ao Minuto,anemia,media,<![CDATA[O tipo de anemia que vitimou rei Harald não afeta só idosos!]]>,https://www.noticiasaominuto.com/lifestyle/3042584/tipo-de-anemia-que-deixa-rei-em-estado-muito-grave-nao-afeta-so-idosos#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
2026-05-30T06:00:10.38129+00:00,2026-05-29,24e11184-109a-4ef8-ae7a-411c11d18818,,Notícias ao Minuto,perturbação obsessivo-compulsiva,media,<![CDATA[Capitão Hélder Tavares renova por mais uma época com o Tondela]]>,https://www.noticiasaominuto.com/desporto/2998157/capitao-helder-tavares-renova-por-mais-uma-epoca-com-o-tondela#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
2026-08-05T06:00:10.761498+00:00,2026-08-03,24efd081-c315-4e5b-a12b-c42159990db8,,Notícias ao Minuto,perturbação obsessivo-compulsiva,media,<![CDATA[Exames: Comissão independente vai avaliar processo após época especial]]>,https://www.noticiasaominuto.com/pais/3031613/exames-comissao-independente-vai-avaliar-processo-apos-epoca-especial#utm_source=rss-ultima-hora&amp;utm_medium=rss&amp;utm_campaign=rssfeed
2026-03-28T00:30:19.777818+00:00,2026-03-27,24f1607e-a99f-4d65-904b-c622eb1c822b,,RTP,candidíase,media,União Africana recusa apoiar candidatura de Macky Sall à chefia da ONU,https://www.rtp.pt/noticias/mundo/uniao-africana-recusa-apoiar-candidatura-de-macky-sall-a-chefia-da-onu_n1729771
